序号,单词,音标,基本释义,详细释义,英文释义,例句,例句释义
15516,fruity,[?fru:ti],果味,果味,,,
15517,untenable,[?n?ten?bl],站不住脚,站不住脚,,,
15518,corset,[?k?:s?t],紧身胸衣,紧身胸衣,,,
15519,counterfeit,[?ka?nt?f?t],伪造,v.伪造，仿造；  n.仿制品，伪造物；  adj.仿造的，假冒的,to make an exact copy of something in order to trick people into thinking that it is the real thing,He counterfeits a zebra by painting on a donkey.,他给驴子涂上颜色来冒充斑马。
15520,assessor,[??ses?(r)],评估员,评估员,,,
15521,referent,['ref?r?nt],指南,指南,,,
15522,pester,[?pest?(r)],纠缠,v. 使烦恼，纠缠,to annoy or bother (someone) in a repeated way,He gets fed up with people pestering him with annoying messages.,他烦透了那些用短信缠着他的人。
15523,disorderly,[d?s??:d?li],乱,乱,,,
15524,loathing,[?l??e??],厌恶,厌恶,,,
15525,platonic,[pl??t?n?k],柏拉图式,柏拉图式,,,
15526,rebuke,[r??bju:k],训斥,v. 指责；  n. 谴责,to speak severely to somebody because they have done something wrong,The boss rebuked his employee for not completing the assignment on time.,老板责备他的员工没有按时完成任务。
15527,snob,[sn?b],势利小人,n. 势利小人,a person who admires people in the higher social classes too much and has no respect for people in the lower social classes,This is a typical face of a snob.,这就是一张典型的小人嘴脸。
15528,smattering,[?sm?t?r??],smattering,smattering,,,
15529,mean-spirited,['mi:nsp'?r?t?d],卑鄙的,卑鄙的,,,
15530,resigned,[r??za?nd],辞职,辞职,,,
15531,christen,[?kr?sn],克里斯汀,克里斯汀,,,
15532,actuator,['?kt??e?t?],执行器,执行器,,,
15533,grapevine,[?gre?pva?n],葡萄藤,葡萄藤,,,
15534,cog,[k?g],齿轮,齿轮,,,
15535,innermost,[??n?m??st],最内向,最内向,,,
15536,incipient,[?n?s?pi?nt],初期,adj. 初期的；刚出现的,beginning to develop or exist,Buds are the incipient stage of flowers.,花蕾是一朵花最初期的样子。
15537,disparage,[d??sp?r?d?],贬损,贬损,,,
15538,aerodynamic,[?e?r??da?'n?m?k],空气动力学,空气动力学,,,
15539,paralyzed,['p?r?la?zd],瘫痪,瘫痪,,,
15540,rippling,['r?pl??],波纹,波纹,,,
15541,horny,[?h?:ni],角质,角质,,,
15542,waistband,[?we?stb?nd],腰带,腰带,,,
15543,capricious,[k??pr???s],任性,任性,,,
15544,shaping,['?e?p??],成型,成型,,,
15545,enforced,[?n?f?:st],执行,执行,,,
15546,sharpness,[?ɑ:pn?s],清晰度,清晰度,,,
15547,well-worn,['welw'?:n],破旧,破旧,,,
15548,musing,[?mju:z??],沉思,沉思,,,
15549,world-famous,[w?:ld 'fe?m?s],世界知名,adj.世界闻名的,known all over the world,Marilyn Monroe is a world-famous actress.,玛丽莲·梦露是世界闻名的女演员。
15550,melodramatic,[?mel?dr??m?t?k],旋律,旋律,,,
15551,sapphire,[?s?fa??(r)],蓝宝石,蓝宝石,,,
15552,Ponce,[p?ns],庞塞,庞塞,,,
15553,snappy,[?sn?pi],活泼,活泼,,,
15554,undaunted,[??n?d?:nt?d],毫不畏惧,毫不畏惧,,,
15555,hotbed,[?h?tbed],温床,温床,,,
15556,stampede,[st?m?pi:d],踩踏,踩踏,,,
15557,pacifist,[?p?s?f?st],和平主义者,和平主义者,,,
15558,exhortation,[?eɡz?:'te??n],讲道,讲道,,,
15559,needlessly,['ni:dl?sl?],不必要,不必要,,,
15560,rev,[rev],修订版,修订版,,,
15561,peacemaker,[?pi:sme?k?(r)],和平者,和平者,,,
15562,moniker,[?m?n?k?(r)],绰号,绰号,,,
15563,allergen,[??l?d??n],过敏原,过敏原,,,
15564,treachery,[?tret??ri],背信弃义,背信弃义,,,
15565,congregational,[?k??ɡr?'ɡe??n?l],公理,公理,,,
15566,colt,[k??lt],小马,小马,,,
15567,misbehavior,['m?sb?'he?vj?],行为不端,行为不端,,,
15568,Inca,[?i?k?],印加,印加,,,
15569,genial,[?d?i:ni?l],和and,和and,,,
15570,magnolia,[m?g?n??li?],木兰,木兰,,,
15571,inhalation,[??nh?'le??n],吸入,吸入,,,
15572,afoot,[??f?t],在,在,,,
15573,toolbox,[?tu:lb?ks],工具箱,工具箱,,,
15574,horrid,[?h?r?d],恐怖,恐怖,,,
15575,forego,[f?:?ɡ?u],放弃,放弃,,,
15576,miscalculation,[?m?sk?lkj?'le??n],错误估计,错误估计,,,
15577,extramarital,[?ekstr??m?r?tl],婚外,婚外,,,
15578,blindfold,[?bla?ndf??ld],眼罩,眼罩,,,
15579,enamor,[?'n?m?],迷住,迷住,,,
15580,Icelandic,[a?s'l?nd?k],冰岛的,冰岛的,,,
15581,filming,[f?lm??],拍摄,拍摄,,,
15582,incendiary,[?n?sendi?ri],煽动性,煽动性,,,
15583,unproductive,[??npr??d?kt?v],非生产性,非生产性,,,
15584,rumpled,[],皱巴巴,皱巴巴,,,
15585,signatory,[?s?gn?tri],签字人,签字人,,,
15586,overpriced,[???v??pra?st],价格过高,价格过高,,,
15587,perversion,[p??v?:?n],变态,变态,,,
15588,chemo,[?ki:m??],化学疗法,化学疗法,,,
15589,weakening,['wi:k?n??],虚弱,虚弱,,,
15590,ravages,[?r?v?d??z],破坏,破坏,,,
15591,scorpion,[?sk?:pi?n],蝎,蝎,,,
15592,brainwash,[?bre?nw??],洗脑,洗脑,,,
15593,catchy,[?k?t?i],吸引人,吸引人,,,
15594,mistreatment,[?m?s'tri:tm?nt],虐待,虐待,,,
15595,whisky,[?w?ski],威士忌酒,n. 威士忌酒,a strong alcoholic drink made from malted grain. It is sometimes drunk with water and/or ice.,I prefer whisky over any other hard drink.,烈酒里面我最喜欢威士忌。
15596,unplanned,[??n?pl?nd],计划外,adj. 在计划外的,without apparent forethought or prompting or planning,"Although her pregnancy was unplanned, they were still looking forward to the baby.",虽然她的怀孕在计划之外，但他们仍旧期待这个孩子的到来。
15597,idiotic,[??di??t?k],愚蠢的,adj. 愚蠢的,insanely irresponsible,It is idiotic for the man to sit on the branch that he is cutting.,这个男人坐在他正在锯的树枝上，真是愚蠢。
15598,underwriter,[??nd?ra?t?(r)],承销商,承销商,,,
15599,hearsay,[?h??se?],传闻,传闻,,,
15600,retool,[?ri:?tu:l],重做,v. 改组，重新装备,"to change or replace the tools or machines in (a factory, workshop, etc.)",The worker retools the computer so it will work better.,那个工人重组了电脑，以便它工作得更好。
15601,ascendancy,[?'send?ns?],优势,优势,,,
15602,indie,[??ndi],独立,独立,,,
15603,sameness,[?se?mn?s],相同,相同,,,
15604,wharf,[w?:f],码头,n. 码头,a flat structure built beside the sea or a river where boats can be tied up and goods unloaded,There is a ship at the wharf.,码头停着一艘船。
15605,luminary,[?lu:m?n?ri],发光,发光,,,
15606,sparingly,['spe?r??l?],很少,很少,,,
15607,reassign,[?ri:??sa?n],重新分配,重新分配,,,
15608,materially,[m?'t??r??l?],重大,重大,,,
15609,space-time,[?speis?taim],时空,时空,,,
15610,redneck,[?rednek],乡下人,乡下人,,,
15611,copious,[?k??pi?s],丰富,丰富,,,
15612,rater,['re?t?],评估者,评估者,,,
15613,ineffectual,[??n??fekt?u?l],无效,无效,,,
15614,shackle,[???kl],链子,链子,,,
15615,upshot,[??p??t],结果,结果,,,
15616,assertiveness,[?'s?:t?vn?s],自信,自信,,,
15617,adaptability,[??d?pt?'b?l?t?],适应性,适应性,,,
15618,penitentiary,[?pen??ten??ri],监狱,监狱,,,
15619,tantalizing,['t?nt?la?z??],诱人,诱人,,,
15620,dispersed,[d?'sp?:st],分散,分散,,,
15621,oeuvre,[??:vr?],作品,作品,,,
15622,backtrack,[?b?ktr?k],回溯,回溯,,,
15623,enchanting,[?n?t?ɑ:nt??],妖娆,妖娆,,,
15624,self-awareness,[],自我意识,自我意识,,,
15625,inordinate,[?n??:d?n?t],过度,过度,,,
15626,downsizing,['da?nsa?z??],裁员,裁员,,,
15627,petitioner,[p??t???n?(r)],请愿人,n. 请愿人,(formal) a person who makes a formal request to somebody in authority,These two petitioners are seeking people to sign their appeal for a new school bus.,这两位请愿者正寻求更多人在他们的新校车申请书上签字。
15628,cusp,[k?sp],尖,尖,,,
15629,diplomatically,[?d?pl?'m?t?kl?],外交,外交,,,
15630,disavow,[?d?s??va?],否认,否认,,,
15631,knapsack,[?n?ps?k],背包,背包,,,
15632,unwrap,[?n?r?p],解开,解开,,,
15633,non-white,[n?n wa?t],非白人,非白人,,,
15634,head-to-head,[?hedt??hed],头对头,头对头,,,
15635,celeb,[s??leb],名人,名人,,,
15636,untitled,[??n?ta?tld],无标题,无标题,,,
15637,alderman,[??:ld?m?n],奥尔德曼,奥尔德曼,,,
15638,homely,[?h??mli],家常,adj. 不好看的，相貌平平的；朴素的；（如在家一般）舒适自在，家庭的,(of a person’s appearance) not attractive,The homely dog has no friends.,这只狗丑到没朋友。
15639,informer,[?n?f?:m?(r)],告密者,告密者,,,
15640,full-service,['f?ls'?:v?s],全面服务,全面服务,,,
15641,meteorological,[?mi:t??r?'l?d??kl],气象,气象,,,
15642,idealize,[a??di:?la?z],理想化,理想化,,,
15643,monopolize,[m??n?p?la?z],独占,vt.垄断；独占，全部占有,to have or take control of the largest part of something so that other people are prevented from sharing it,This company has monopolized the ice tea market.,这家公司已经垄断了冰茶市场。
15644,solicitor,[s??l?s?t?(r)],律师,n. <英>初级律师,"a lawyer who prepares legal documents, for example for the sale of land or buildings, advises people on legal matters, and can speak for them in some courts of law; the most senior legal officer of a city, town or government department","In order to win the lawsuit, the solicitor is studying the case.",为了打赢官司，律师正在研究这个案子。
15645,ingrain,['?n'gre?n],英格兰,英格兰,,,
15646,inexperience,[??n?k?sp??ri?ns],缺乏经验,缺乏经验,,,
15647,fluff,[fl?f],起毛,起毛,,,
15648,fell,[fel],跌倒,跌倒,,,
15649,boxed,[b?kst],盒子,盒子,,,
15650,collarbone,[?k?l?b??n],锁骨,锁骨,,,
15651,hazelnut,[?he?zln?t],榛子,榛子,,,
15652,henceforth,[?hens?f?:θ],今后,adv.今后，此后,from this time forth; from now on,"Sadly, the man was henceforth terrified of ropes.",令人遗憾的是，这个男人从此非常害怕绳子。
15653,pout,[pa?t],噘,噘,,,
15654,offshoot,[??f?u:t],分支,分支,,,
15655,wayside,[?we?sa?d],路边,n. 路边；  adj. 路边的,the land next to a road or path,Hitchhikers stand on the wayside of the road and wait for cars to pick them up.,驴友们站在路边等着搭车。
15656,outmoded,[?a?t?m??d?d],陈旧,陈旧,,,
15657,discriminant,[d?s'kr?m?n?nt],判别,判别,,,
15658,intelligible,[?n?tel?d??bl],可理解,adj. 可理解的，明白易懂的,that can be easily understood,I think these simple math problems should be intelligible to you.,我认为你应该能理解这些简单的数学问题。
15659,consonant,[?k?ns?n?nt],辅音,辅音,,,
15660,recklessly,['rekl?sl?],鲁ck,鲁ck,,,
15661,banter,[?b?nt?(r)],嘲笑,嘲笑,,,
15662,canning,['k?n??],罐头,罐头,,,
15663,smashed,[sm??t],砸碎,砸碎,,,
15664,rainstorm,[?re?nst?:m],暴雨,暴雨,,,
15665,unicorn,[?ju:n?k?:n],独角兽,n. 独角兽,an imaginary animal that looks like a horse and has a straight horn growing from the middle of its forehead,"That's my magic castle, and this is my pet unicorn, Daisy.",那边是我的魔法城堡，这是我的宠物独角兽黛西。
15666,uncooked,[??n?k?kt],生,生,,,
15667,tasteful,[?te?stfl],有品味的,有品味的,,,
15668,seaman,[?si:m?n],水手,n. 水手，海员,a member of the navy or a sailor on a ship below the rank of an officer,He looks really happy in the seaman uniform.,他穿着水手服看起来很开心。
15669,inactivity,[??n?k't?v?t?],不活动,不活动,,,
15670,racy,[?re?si],racy,racy,,,
15671,supersonic,[?su:p??s?n?k],超音速,adj. 超音速的,faster than the speed of sound,Supersonic jets can fly faster than sound.,超音速飞机的飞行速度比声音更快。
15672,inlaid,[??n?le?d],镶嵌,镶嵌,,,
15673,generality,[?d?en??r?l?ti],概论,概论,,,
15674,indulgent,[?n?d?ld??nt],放纵,adj.任性的；放纵的；宽容的,"willing to allow someone to have or enjoy something even though it may not be proper, healthy, appropriate, etc.","I'm a very indulgent parent, so I let my son eat pizza every day.",我是个很纵容孩子的家长，所以我允许我儿子每天都吃比萨。
15675,racketeering,[],敲诈,敲诈,,,
15676,chartered,[?t?ɑ:t?d],特许,特许,,,
15677,chiropractor,[?ka??r??pr?kt?(r)],脊医,脊医,,,
15678,insensitivity,[?n?sens?'t?v?t?],不敏感,不敏感,,,
15679,keyword,[?ki:w?:d],关键词,关键词,,,
15680,misbehave,[?m?sb??he?v],行为不端,行为不端,,,
15681,delude,[d??lu:d],欺骗,v. 欺骗，哄骗,to cause (someone) to believe something that is not true,The poor girl was deluding herself that she felt warm and full.,这个可怜的女孩正在欺骗自己说她觉得又暖又饱。
15682,teak,[ti:k],柚木,柚木,,,
15683,intelligently,[?n'tel?d??ntl?],明智地,明智地,,,
15684,grumpy,[?gr?mpi],脾气暴躁,脾气暴躁,,,
15685,salesperson,[?se?lzp?:sn],销售员,销售员,,,
15686,belch,[belt?],嗝,嗝,,,
15687,practicum,['pr?kt?k?m],实践,实践,,,
15688,archdiocese,[?ɑ:t??da??s?s],大主教管区,大主教管区,,,
15689,bygone,[?ba?g?n],过去,过去,,,
15690,snoop,[snu:p],史努比,史努比,,,
15691,protectionist,[pr?'tek??n?st],贸易保护主义者,贸易保护主义者,,,
15692,enthuse,[?n?θju:z],鼓起勇气,鼓起勇气,,,
15693,exclusionary,[?k?sklu:??nri],排他性,排他性,,,
15694,formalize,[?f?:m?la?z],正式化,正式化,,,
15695,roulette,[ru:?let],轮盘赌,轮盘赌,,,
15696,peeled,[pi:ld],去皮,去皮,,,
15697,enviable,[?envi?bl],令人羡慕,令人羡慕,,,
15698,shipwreck,[???prek],沉船,n. 遇难船；船只失事；  v. 使遭遇海难,a ship that has been lost or destroyed at sea,During our last dive we found a shipwreck.,上一次潜水我们发现了一艘遇难船。
15699,enchant,[?n?t?ɑ:nt],附魔,附魔,,,
15700,regrettable,[r??gret?bl],遗憾,遗憾,,,
15701,gripe,[gra?p],抱怨,抱怨,,,
15702,patented,['p?tnt?d],专利,专利,,,
15703,chieftain,[?t?i:ft?n],头目,头目,,,
15704,thistle,[?θ?sl],蓟,蓟,,,
15705,redraw,[?ri:?dr?:],重画,重画,,,
15706,contort,[k?n?t?:t],扭曲,扭曲,,,
15707,belle,[bel],美女,美女,,,
15708,accredited,[??kred?t?d],认可,认可,,,
15709,welder,[?weld?(r)],焊机,焊机,,,
15710,unaccustomed,[??n??k?st?md],不习惯,不习惯,,,
15711,boldness,['b??ldn?s],大胆,大胆,,,
15712,wired,[?wa??d],有线,有线,,,
15713,minefield,[?ma?nfi:ld],雷区,n.布雷区,an area of land or water that contains mines (sense 2),There's no way I will take this boat through that minefield!,我绝不会坐船经过那片雷区！
15714,defensible,[d??fens?bl],可辩护,可辩护,,,
15715,lance,[lɑ:ns],槊,槊,,,
15716,populism,[?p?pj?l?z?m],民粹主义,民粹主义,,,
15717,lair,[le?(r)],巢穴,巢穴,,,
15718,infatuation,[?n?f?t?u?e??n],痴情,痴情,,,
15719,admitting,[?d'm?t??],承认,承认,,,
15720,octave,[??kt?v],八度,八度,,,
15721,deathbed,[?deθbed],临终,临终,,,
15722,stalwart,[?st?:lw?t],坚定,坚定,,,
15723,value-added,['v?lju: '?d?d],增值,增值,,,
15724,invalid,[?n?v?l?d],无效的,adj. 无效的；  n. 病人，残疾人,not legally or officially acceptable,The paycheck is invalid without a signature.,没有签名的支票是无效的。
15725,imperialist,[?m?p??ri?l?st],帝国主义者,n. 帝国主义者；  adj. 帝国主义的,"a person, such as a politician, who supports imperialism","In the past, we were under imperialist oppression, and forced to sign unequal treaties.",过去我们曾受帝国主义的压迫，被迫签订不平等条约。
15726,microchip,[?ma?kr??t??p],微芯片,微芯片,,,
15727,germinate,[?d??:m?ne?t],发芽,发芽,,,
15728,internist,[?n?t?:n?st],内科医生,内科医生,,,
15729,holdout,['h??lda?t],坚持,坚持,,,
15730,pancreas,[?p??kri?s],胰腺,胰腺,,,
15731,chiffon,[???f?n],薄纱,薄纱,,,
15732,imperil,[?m?per?l],威胁,威胁,,,
15733,sorcerer,[?s?:s?r?(r)],巫师,巫师,,,
15734,tact,[t?kt],机智,n.机智，得体，老练，圆滑,the ability to deal with difficult or embarrassing situations carefully and without doing or saying anything that will annoy or upset other people,The politician showed great tact with his response to the "flying shoe.",这个政客对“飞鞋”的回应可以说是很机智了。
15735,matched,[m?t?t],匹配,匹配,,,
15736,marcher,[?mɑ:t??(r)],游行者,游行者,,,
15737,fortification,[?f?:t?f??ke??n],筑城,n.防御工事（尤指堡垒、要塞城墙等）,defensive structure consisting of walls or mounds built around a stronghold to strengthen it,The castle's fortification keeps enemies out.,城堡的防御工事将敌人抵挡在外。
15738,loll,[l?l],懒惰,vi. 懒洋洋地倚靠，闲荡；  vt. 懒洋洋地倚靠着，使悬垂,to lie or sit in a relaxed or lazy manner,The panda lolled on the tree then fell asleep.,熊猫懒洋洋地躺在树上，随后睡着了。
15739,shockingly,['??k??l?],令人震惊,令人震惊,,,
15740,snipe,[sna?p],狙击,狙击,,,
15741,constitutive,[?k?nst??tju:t?v],本构,本构,,,
15742,mallet,[?m?l?t],槌,槌,,,
15743,wick,[w?k],威克,威克,,,
15744,savanna,[s?'v?n?],稀树草原,稀树草原,,,
15745,shifter,[???ft?(r)],变速箱,变速箱,,,
15746,purview,[?p?:vju:],范围,范围,,,
15747,masturbate,[?m?st?be?t],手淫,手淫,,,
15748,scavenge,[?sk?v?nd?],清除,清除,,,
15749,maggot,[?m?g?t],蛆,蛆,,,
15750,lullaby,[?l?l?ba?],催眠曲,催眠曲,,,
15751,orb,[?:b],球,球,,,
15752,reclusive,[r?'klu:s?v],隐居,隐居,,,
15753,hard-boiled,[?hɑ:d?b?ild],硬煮,硬煮,,,
15754,horse-drawn,[?h?:sdr?:n],马拉,马拉,,,
15755,Aryan,[?e?ri?n],雅利安,雅利安,,,
15756,hyperactive,[?ha?p?r??kt?v],多动,多动,,,
15757,slather,[?sl?e?(r)],大量,大量,,,
15758,respiration,[?resp??re??n],呼吸,n. 呼吸,the act or process of breathing,Respiration refers to the process of inhaling and exhaling air.,呼吸指的是吸气与呼气的过程。
15759,hemlock,[?heml?k],铁杉,铁杉,,,
15760,skimpy,[?sk?mpi],轻薄,轻薄,,,
15761,conclusively,[k?n'klu:s?vl?],结论性,结论性,,,
15762,lacquer,[?l?k?(r)],漆,漆,,,
15763,absorbing,[?b?s?:b??],吸收,吸收,,,
15764,high-pressure,[?ha??pre??],高压力,高压力,,,
15765,matter-of-fact,['m?t?r ?v f?kt],事实上,事实上,,,
15766,pickled,[?p?kld],腌制,腌制,,,
15767,luminosity,[?lu:m?'n?s?t?],亮度,亮度,,,
15768,excise,[?eksa?z],消费税,消费税,,,
15769,sympathetically,[?s?mp?'θet?kl?],同情,同情,,,
15770,self-pity,[?self?p?ti:],自怜,自怜,,,
15771,sidle,[?sa?dl],边,边,,,
15772,ameliorate,[??mi:li?re?t],改善,改善,,,
15773,acidity,[??s?d?ti],酸度,酸度,,,
15774,cropland,['kr?pl?nd],农田,农田,,,
15775,pariah,[p??ra??],帕里亚,帕里亚,,,
15776,sorcery,[?s?:s?ri],巫术,巫术,,,
15777,lob,[l?b],高球,高球,,,
15778,overpowering,[???v??pa??r??],压倒性,压倒性,,,
15779,unexplored,[??n?k?spl?:d],未探索,未探索,,,
15780,finisher,[?f?n???(r)],完成者,完成者,,,
15781,elation,[i?le??n],兴高采烈,兴高采烈,,,
15782,misdeed,[?m?s?di:d],不当行为,n. 不端行为，罪行,a morally wrong or illegal act,He was put into prison for his misdeeds.,他因违法而被关进监狱。
15783,accretion,[??kri:?n],积聚,积聚,,,
15784,buttery,[?b?t?ri],黄油,黄油,,,
15785,unwed,[?n'wed],不愿意,不愿意,,,
15786,hideaway,[?ha?d?we?],隐藏,隐藏,,,
15787,black-eyed,[b'l?k'a?d],黑眼睛的,黑眼睛的,,,
15788,transformer,[tr?ns?f?:m?(r)],变压器,n.变压器,"a device for reducing or increasing the voltage of an electric power supply, usually to allow a particular piece of electrical equipment to be used",These transformers help to send electricity across the grid.,这些变压器把电传输到整个电网中。
15789,jitters,[?d??t?z],令人讨厌,令人讨厌,,,
15790,transom,[?tr?ns?m],横梁,横梁,,,
15791,adjoin,[??d???n],毗,v. 与…毗连；贴近,to be next to or joined to something,Our two rooms adjoin together; so you are my neighbor now.,我们俩的房间毗连，现在你就是我的邻居啦。
15792,panicked,[null],惊慌失措,惊慌失措,,,
15793,teacup,[?ti:k?p],茶碗,茶碗,,,
15794,screener,['skri:n?(r)],筛选器,筛选器,,,
15795,blemish,[?blem??],缺陷,缺陷,,,
15796,twofold,[?tu:f??ld],双重,双重,,,
15797,indentation,[??nden?te??n],缩进,缩进,,,
15798,blurred,[bl?:d],模糊,模糊,,,
15799,quark,[kwɑ:k],夸克,夸克,,,
15800,illuminating,[??lu:m?ne?t??],照明,照明,,,
15801,implode,[?m?pl??d],爆破,爆破,,,
15802,wrangling,[],争吵,争吵,,,
15803,goo,[gu:],粘性物,粘性物,,,
15804,dike,[da?k],堤,堤,,,
15805,jihadist,[],圣战者,圣战者,,,
15806,sieve,[s?v],筛,n. 筛子，粗篮；  v. 筛，滤,to put something through a sieve,The woman is sifting flour through the sieve.,这个女人正在用筛子筛面粉。
15807,zigzag,[?z?gz?g],曲折,v.以之字形行进；  n.之字形，折线；  adj.曲折的，之字形的；  adv.之字形地,to move forward by making sharp sudden turns first to the left and then to the right,We drove on the country road which zigzagged up the hill.,我们行驶在曲折上坡的乡间道路上。
15808,extraneous,[?k?stre?ni?s],无关,无关,,,
15809,incriminating,[],犯罪,犯罪,,,
15810,indecision,[??nd??s??n],犹豫不决,犹豫不决,,,
15811,multimillionaire,[?m?ltim?lj??ne?(r)],多百万富翁,多百万富翁,,,
15812,providing,[pr??va?d??],提供,提供,,,
15813,unionized,['ju:nj?na?zd],联合,联合,,,
15814,resuscitate,[r??s?s?te?t],复苏,复苏,,,
15815,mushy,[?m??i],糊状,糊状,,,
15816,preamble,[pri??mbl],前言,前言,,,
15817,sandbag,[?s?ndb?g],沙袋,沙袋,,,
15818,introspective,[??ntr??spekt?v],内省,内省,,,
15819,custom-made,[?k?st?m?me?d],定制,定制,,,
15820,hardcover,[?hɑ:dk?v?(r)],精装,精装,,,
15821,wrought,[r?:t],锻,adj. 锻造的,carefully formed or worked into shape,Horseshoes are made of wrought iron because it's soft and easy to shape.,马蹄铁是用精铁造的，因为它又软又容易造型。
15822,reinvigorate,[?ri:?n?v?g?re?t],振兴,振兴,,,
15823,anemic,[?'ni:m?k],贫血,贫血,,,
15824,amiss,[??m?s],不对劲,不对劲,,,
15825,bandanna,[b?n?d?n?],头巾,头巾,,,
15826,unwavering,[?n?we?v?r??],坚定不移,坚定不移,,,
15827,deplorable,[d??pl?:r?bl],可悲的,可悲的,,,
15828,broadside,[?br?:dsa?d],宽边,宽边,,,
15829,baguette,[b??get],法国面包,法国面包,,,
15830,redness,[redn?s],发红,发红,,,
15831,denizen,[?den?zn],丹尼森,丹尼森,,,
15832,patina,[?p?t?n?],铜绿,铜绿,,,
15833,vaporize,[?ve?p?ra?z],蒸发,蒸发,,,
15834,dryness,[dra?n?s],干燥,干燥,,,
15835,deleterious,[?del??t??ri?s],有害,有害,,,
15836,blooming,[?blu:m??],开花,开花,,,
15837,inorganic,[??n?:?g?n?k],无机,无机,,,
15838,crass,[kr?s],粗俗,粗俗,,,
15839,justifiably,[d??st?'fa??bl?],合理,合理,,,
15840,travail,[?tr?ve?l],苦难,苦难,,,
15841,esteemed,[?s'ti:md],受人尊敬,受人尊敬,,,
15842,claustrophobic,[?kl?:str??f??b?k],幽闭恐惧症,幽闭恐惧症,,,
15843,acquiescence,[??kwi?esns],默认,默认,,,
15844,demean,[d??mi:n],贬低,贬低,,,
15845,infest,[?n?fest],侵扰,v. 骚扰，寄生于，大批出没,"to be in or over (a place, an animal, etc.) in large numbers",The warehouse is infested with rats.,仓库里鼠满为患。
15846,pragmatist,['pr?ɡm?t?st],实用主义者,实用主义者,,,
15847,touchstone,[?t?t?st??n],试金石,试金石,,,
15848,angelic,[?n?d?el?k],天使般,天使般,,,
15849,merciful,[?m?:s?fl],仁慈,adj.仁慈的，宽大的,"ready to forgive people and show them kindness; (of an event) seeming to be lucky, especially because it brings an end to somebody’s problems or suffering",The old man is merciful so he let turtles free.,老人很仁慈，他放生了海龟。
15850,uninformed,[??n?n?f?:md],不知情,不知情,,,
15851,dour,[?da??(r)],杜尔,杜尔,,,
15852,chaser,[?t?e?s?(r)],追逐者,追逐者,,,
15853,flaky,[?fle?ki],片状,片状,,,
15854,debunk,[?di:?b??k],揭穿,揭穿,,,
15855,heretic,[?her?t?k],异教徒,异教徒,,,
15856,polemic,[p??lem?k],辩论,辩论,,,
15857,cantaloupe,[?k?nt?lu:p],哈密??瓜,哈密??瓜,,,
15858,singularly,[?s??gj?l?li],奇异,奇异,,,
15859,demented,[d??ment?d],痴呆,痴呆,,,
15860,lope,[l??p],lope,lope,,,
15861,antebellum,[??nti?bel?m],战前,战前,,,
15862,exterminate,[?k?st?:m?ne?t],殄,v. 消灭，灭绝，根除,"to destroy or kill (a group of animals, people, etc.) completely",This spray will exterminate all your cockroaches.,这喷雾可以消灭所有的蟑螂。
15863,soundbite,['sa?ndba?t],声音,声音,,,
15864,cobbler,[?k?bl?(r)],皮匠,皮匠,,,
15865,profane,[pr??fe?n],亵渎,adj. 亵渎神圣的，不敬的，粗俗的，污秽的；  v. 亵渎，玷污（神圣），滥用,having or showing disrespect for religious things,Sleeping in a church is profane.,在教堂里睡觉是不敬的。
15866,fibrosis,[fa?'br??s?s],纤维化,纤维化,,,
15867,favoritism,['fe?v?r?t?z?m],偏爱,偏爱,,,
15868,pudgy,[?p?d?i],矮胖,矮胖,,,
15869,blithely,['bla?el?],轻巧,轻巧,,,
15870,bawl,[b?:l],呶,呶,,,
15871,unseat,[??n?si:t],取消,取消,,,
15872,tranquilizer,['tr??kw?la?z?],镇静剂,镇静剂,,,
15873,filtering,['f?lt?r??],过滤,过滤,,,
15874,tirelessly,['ta??l?sl?],不懈,不懈,,,
15875,gizmo,[?g?zm??],小发明,小发明,,,
15876,dishonesty,[d?s'?n?sti:],不诚实,不诚实,,,
15877,unkind,[??n?ka?nd],刻薄,adj. 不仁慈的，不厚道的，不和善的,unpleasant or unfriendly; slightly cruel,I don't understand why my boss is so unkind to me.,我不明白为什么老板对我如此不友好。
15878,superhero,[?su:p?h??r??],超级英雄,超级英雄,,,
15879,connote,[k??n??t],意味着,意味着,,,
15880,chronicler,['kr?n?kl?(r)],编年史,编年史,,,
15881,chopsticks,['t??pst?ks],筷子,n. 筷子,"either of a pair of thin sticks that are used for eating with, especially in some Asian countries",There are four pairs of chopsticks on the bamboo mat.,竹垫上有四双筷子。
15882,speeding,[?spi:d??],超速,n. 超速行驶,,The driver was stopped by the police for speeding.,这位司机因超速行驶被警察拦下。
15883,festoon,[fe?stu:n],花彩,花彩,,,
15884,willfully,['w?lf?l?],故意,故意,,,
15885,attainable,[??te?n?bl],可以实现,可以实现,,,
15886,horticultural,[?h?:t?'k?lt??r?l],园艺,园艺,,,
15887,unfairness,[],不公平,不公平,,,
15888,landlady,[?l?ndle?di],房东,n. 女地主，女房东,"a woman from whom you rent a room, a house, etc.; a woman who owns or manages a pub or a guest house",The landlady passed me the key after she received the deposit.,女房东收到押金后给了我钥匙。
15889,big-name,['b?ɡn'e?m],大名,大名,,,
15890,vex,[veks],烦恼,v. 使烦恼，使苦恼，使恼怒,to annoy or worry (someone),It extremely vexed me when my photoshop suddenly crashed !,我的PS突然崩溃了，真是烦透了！
15891,whoop,[wu:p],哇,哇,,,
